Area,Bedrooms,Bathrooms,Floors,YearBuilt,Price,Location_Downtown,Location_Rural,Location_Suburban,Location_Urban,Condition_Excellent,Condition_Fair,Condition_Good,Condition_Poor,Cluster
2306,2,2,3,1976,447694,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
689,5,1,3,1900,688668,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
3234,5,4,2,1959,527032,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
3505,4,2,3,1955,745494,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
2399,2,4,1,1934,513179,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1767,3,3,3,2011,948212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2028,2,4,1,1929,206547,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3702,1,4,2,1953,902609,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
4056,2,3,2,1935,727090,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4390,1,1,1,2020,202185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1146,1,3,3,1954,725371,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3388,3,3,2,1988,105746,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
2935,4,4,2,1979,959507,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1100,2,1,3,1957,748213,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2863,1,2,3,1982,921627,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
2561,2,3,1,1964,873250,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
741,4,1,3,1968,218393,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2541,4,3,3,1950,333453,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
3324,5,3,3,1921,986192,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3112,4,3,1,1987,340320,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
1863,3,3,1,2006,643167,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
1978,1,4,2,2008,641880,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3056,5,1,1,2015,396872,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
1275,3,1,2,2000,270084,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4514,2,1,3,1952,976920,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
534,1,3,2,1999,771782,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3652,4,4,2,1935,845016,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2455,1,3,3,1967,698843,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2085,2,3,2,1935,405446,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
4443,5,1,1,1951,958840,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
3573,5,3,1,1952,593118,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1521,5,2,1,1981,266897,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3961,4,3,1,1949,826522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
3113,3,2,2,1979,913498,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4343,3,3,2,1940,840023,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2000,1,4,3,1917,143878,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
661,4,4,2,1921,175407,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4797,5,1,2,1965,691157,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2481,5,3,2,1920,307716,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
1495,2,2,3,1999,857827,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
3842,2,2,1,1943,66738,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4298,5,3,2,2002,183703,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1775,5,2,3,1946,723265,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
1516,4,4,3,1938,593344,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
837,3,2,3,1928,815034,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1378,2,1,1,1953,560241,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1576,3,4,2,1989,433800,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4493,4,4,3,1984,689604,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
879,5,4,1,1916,740807,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
992,3,3,3,1979,628706,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2562,5,3,3,1959,873622,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4384,5,4,3,1930,76014,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
564,1,3,3,2014,778359,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
3068,3,2,3,1972,813277,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2527,3,3,1,1994,231350,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
3195,5,3,2,1977,961995,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1995,4,4,2,1948,838212,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
891,1,1,2,2000,534859,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
4974,5,1,2,1901,764618,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
4061,2,1,1,2015,540339,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2778,2,2,1,1947,92192,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3599,1,3,1,2009,941307,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
700,4,1,3,1913,411273,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
3604,5,4,3,1958,93923,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
2954,3,1,3,1996,663484,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4145,1,1,2,1998,576683,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
1304,4,3,3,1957,414593,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3231,3,3,2,2002,433891,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3273,2,3,3,1957,802744,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
2070,2,2,2,2010,458995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3190,3,2,3,1950,645316,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4340,1,1,3,1983,997226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1528,2,3,1,1901,450327,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1002,5,1,3,2014,816751,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4993,3,4,3,1940,715344,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
1370,3,4,1,1982,929608,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4988,2,3,2,2022,777688,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
706,1,3,1,2000,305315,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1984,5,4,1,1981,339068,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1363,1,3,2,1915,495919,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3290,4,2,3,1903,344721,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1063,4,2,2,1911,188783,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4691,2,3,3,1928,659836,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2257,2,4,3,1906,307288,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2178,2,1,2,1913,543085,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
3742,4,3,1,2018,545187,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1559,1,3,2,1911,699381,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2222,1,1,3,1998,285835,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
3814,2,3,2,1904,971600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
3657,5,1,2,1980,902987,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
3125,1,4,3,2021,401992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3229,4,2,1,2005,256084,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2097,3,4,2,1931,844686,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3560,3,2,3,1973,437554,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3193,3,1,3,1942,803315,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
4127,5,2,2,1980,520336,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
1863,2,4,1,1968,973469,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2481,4,2,2,1944,258072,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2163,5,1,1,2005,298029,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
2029,4,2,1,1908,259047,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
2538,4,3,1,1948,415169,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3802,2,4,1,1932,180509,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2737,3,3,2,1999,812072,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1806,2,1,3,1999,345107,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4529,5,2,3,1917,577561,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3175,5,3,3,1908,589618,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
1782,5,3,3,1961,202566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
1209,2,2,3,1956,650710,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
4913,4,2,3,1928,958521,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
4248,4,4,2,2013,53212,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1163,1,3,1,1977,282131,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
2498,5,3,3,1924,526657,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
3945,4,1,2,1914,661882,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
4243,1,4,3,1905,182152,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1995,4,1,3,2019,344819,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
3804,5,3,1,1941,72007,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
4263,3,1,1,1928,688093,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
2353,5,3,1,1978,394785,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1791,2,3,3,1992,670103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
4081,4,1,3,1903,883247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3957,4,1,3,1981,919914,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2136,2,2,1,2013,837071,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4196,2,2,2,1956,375737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3499,3,2,3,1948,562164,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3652,4,3,3,1943,128038,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1198,4,1,3,2002,406043,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2660,3,4,2,1979,840168,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4597,1,3,3,1974,827794,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1354,3,4,2,1913,66473,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
3974,5,1,3,1902,703059,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
2207,4,3,2,2014,175801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3277,2,4,3,2013,944030,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
2233,5,4,1,1961,660911,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
4010,4,2,1,2005,558252,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
702,3,2,1,1963,275097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3755,5,2,1,2001,348964,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
4718,4,3,3,1944,265933,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4996,1,1,1,2005,369733,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1266,1,1,2,1981,771167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
4889,2,2,1,1957,330558,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2827,4,2,1,1919,439522,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
3431,1,2,1,1957,74220,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
697,3,4,3,2011,634819,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
2430,4,2,1,1988,422146,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
4082,3,4,2,1956,557409,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1108,3,1,1,2001,747785,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
3772,1,3,1,1976,59387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1647,4,3,1,1967,295752,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4782,5,3,2,2018,651103,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
3897,1,3,1,1977,601872,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3011,1,4,2,1996,619071,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
2294,4,4,2,1991,745169,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1159,4,2,1,1951,759687,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3311,3,4,2,1936,698782,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1869,4,2,3,1907,690102,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
2486,3,2,1,1943,300139,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
646,1,3,1,1997,967184,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3719,2,4,2,2007,550228,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
3411,5,4,2,1904,716217,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
2234,1,2,1,2017,747621,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2343,4,2,3,1968,910020,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
988,5,1,2,1930,984499,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
3476,2,1,2,1944,296509,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2459,2,2,3,1908,63580,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
2885,3,1,3,2005,592528,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3419,5,1,1,1931,828639,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2302,3,2,3,1932,395590,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
4561,1,2,1,1966,518968,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
3869,5,4,3,1929,940965,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
762,1,2,2,2013,828559,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1123,3,2,1,1975,533663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
1516,5,3,1,1928,478082,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4143,3,4,1,1902,655262,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2549,5,4,3,1989,647689,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4223,3,4,2,1956,263165,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
3608,2,3,1,1929,455427,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4590,3,2,1,1908,502201,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
2556,2,4,1,1925,214340,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
3670,3,4,1,1901,840078,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
2182,5,1,2,1961,760731,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2755,5,4,3,1902,822411,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
1654,5,2,2,1945,354960,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
4999,4,2,1,1967,139460,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3691,1,1,2,1924,356256,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
2196,5,4,1,1950,101048,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4491,2,4,3,1912,780806,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2148,5,4,3,2002,182850,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1945,4,3,3,1943,882184,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
4699,2,4,1,1934,528193,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4423,4,2,2,1954,907158,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
753,2,2,3,1986,786200,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
3683,3,3,1,1908,994793,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
3057,1,3,1,1901,356932,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
598,1,4,2,1960,316891,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
2700,4,1,3,2017,574333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3461,1,3,1,1940,582046,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4933,4,3,2,1943,829685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
4277,4,4,3,1963,961508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
3369,4,4,2,1930,728797,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
3734,1,3,2,2007,724945,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
4291,4,1,1,1946,190926,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1456,1,3,1,1901,233148,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4567,4,4,1,1995,893382,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
660,5,4,2,1981,722709,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4993,4,3,1,1976,801588,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
1800,2,1,2,2009,726708,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
4487,4,3,2,1968,215368,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2027,3,3,1,1957,544496,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
1718,4,4,3,2005,69455,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
4996,2,1,3,1943,784184,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
3604,2,2,3,1973,515139,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3235,1,1,2,1955,281897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1454,5,3,2,1942,482509,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3946,4,3,2,1988,542646,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1545,1,3,1,1933,662840,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2193,5,1,2,2000,882548,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
3936,4,4,1,1929,432605,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
1062,3,3,1,1970,614772,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2985,4,3,3,1969,997719,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
3854,2,1,3,2017,393782,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
725,2,2,3,1954,708764,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
1459,3,2,1,1966,218332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
3567,1,4,1,1912,150647,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1315,5,4,1,1902,639930,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
3620,4,3,2,1925,786091,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
516,2,1,1,1956,882441,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
1743,1,3,3,1923,178824,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
2705,3,4,3,1952,823202,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3024,2,1,1,1969,866037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
1569,3,1,1,1942,685167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3944,4,4,3,1959,695115,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
3065,5,2,1,1957,317724,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1560,2,2,3,1948,951334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
2827,2,1,2,1941,317544,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
3920,4,3,3,1975,745003,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
801,1,2,2,2012,801545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
4776,5,3,1,1999,932464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
1106,2,2,1,1965,177319,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
3670,5,2,2,1910,562193,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1199,2,3,1,2002,529389,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1639,5,4,2,1997,156960,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
690,3,2,1,1989,89015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2
2800,2,2,3,1917,383857,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1480,5,3,1,1984,778165,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3475,1,4,3,1999,982478,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1684,3,2,3,2003,195109,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3827,3,2,2,1951,527508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
3894,1,4,1,1945,836351,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
627,5,2,2,1943,983671,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2565,4,4,1,1921,138754,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
2316,1,4,3,1952,271775,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1069,5,3,3,1958,355292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2395,1,1,1,1993,777513,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
3233,1,4,1,2013,726894,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
4363,2,3,2,2006,796355,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4514,5,1,1,2023,959222,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2
3401,4,2,1,1929,922510,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2186,2,1,1,1907,106879,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
3509,1,4,2,1997,169894,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
